OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
2064,Cairnmore Farm,Wind Onshore,2.6,Operational
2070,St Fergus Moss Wind Farm,Wind Onshore,6,Operational
2071,"West Hill, Flotta",Wind Onshore,2,Operational
2073,Chelker Reservoir (Retention of Turbines),Wind Onshore,1.2,Operational
2080,Whitelee Windfarm Extension phase 2,Wind Onshore,109,Operational
2081,Hill of Balquhindachy extension,Wind Onshore,1.7,Operational
2095,Taff Ely Wind Farm,Wind Onshore,9,Operational
2097,Mossmorran Wind Farm,Wind Onshore,4.6,Operational
2098,Courtstone Wind Turbine,Wind Onshore,2.3,Operational
2107,Lairg Wind Farm,Wind Onshore,7.5,Operational
2111,G24 Innovations Turbine,Wind Onshore,2.3,Operational
2117,Mornflake Oats Wind Turbine,Wind Onshore,2.3,Operational
2121,Clochnahill Wind Farm,Wind Onshore,5.2,Operational
2129,Strathallan Wind Farm,Wind Onshore,20.7,Under Construction
2132,St John Hill,Wind Onshore,7.7,Operational
2133,Bryn Blaen Wind Farm,Wind Onshore,13.8,Operational
2135,MARCH SEWAGE TREATMENT WORKS - WIND TURBINE,Wind Onshore,2,Operational
2145,Burnfoot Hill,Wind Onshore,26,Operational
2158,Chelker Reservoir,Wind Onshore,1.3,Operational
2159,Strath of Brydock,Wind Onshore,4.6,Operational
2160,House O'Hill,Wind Onshore,5,Operational
2163,Bagmoor,Wind Onshore,16,Operational
2166,Croda Chemicals Europe,Wind Onshore,3,Operational
2168,"Eastman Chemicals, Workington",Wind Onshore,4,Operational
2171,Lindhurst Wind Farm,Wind Onshore,15,Operational
2172,Craigengelt,Wind Onshore,20,Operational
2174,Saltend Wind Turbine,Wind Onshore,1.3,Operational
2175,Loftsome Bridge,Wind Onshore,1.3,Operational
2176,Nissan Wind Farm,Wind Onshore,4,Operational
2182,Parc Cynog Extension,Wind Onshore,8.4,Operational
2184,Ranson Moor (phase 1),Wind Onshore,6,Operational
2185,Ranson Moor Wind Farm (Phase 2),Wind Onshore,4,Operational
2187,West Durham Wind Farm,Wind Onshore,24,Operational
2188,Dyffryn Brodyn Wind Farm,Wind Onshore,5.5,Operational
2193,North Red Bog,Wind Onshore,1.6,Operational
2195,Milton Keynes Wind Farm,Wind Onshore,14,Operational
2204,Broom Hill Farm,Wind Onshore,8,Operational
2207,Winscales Moor,Wind Onshore,6,Operational
2208,Wind Farm Africa Alive,Wind Onshore,4.1,Operational
2209,Beinn Tharsuinn Extension (Beinn nan Oighrean),Wind Onshore,4.6,Operational
2214,St John's Well,Wind Onshore,2.4,Operational
2216,Hellrigg Wind farm,Wind Onshore,9.2,Operational
2224,Bryn titli Windfarm,Wind Onshore,9.9,Operational
2226,Delabole (Repowering),Wind Onshore,9.2,Operational
2227,Whittlesey,Wind Onshore,9,Operational
2233,Advanced Manufacturing Research Centre,Wind Onshore,2.6,Operational
2238,Solutia UK Ltd,Wind Onshore,5,Operational
2249,High Haswell Wind Farm,Wind Onshore,4,Operational
2256,Llandinam Windfarm,Wind Onshore,31,Operational
2260,Goonhilly Downs Wind Farm Repower,Wind Onshore,12,Operational
2266,MSD Cramlington,Wind Onshore,4,Operational
2272,Skelmonae Wind Farm,Wind Onshore,3.2,Operational
2274,Carn Vean,Wind Onshore,10,Operational
2275,Dewlay Cheese Wind Turbine,Wind Onshore,2,Operational
2276,Coal Clough Wind Farm,Wind Onshore,9.6,Operational
2286,Myres Hill,Wind Onshore,1.8,Operational
2287,High Sharpley Wind Farm,Wind Onshore,2.6,Operational
2288,National Wind Turbine Test Site,Wind Onshore,4.7,Operational
2291,Little Cheyne Court Wind Farm,Wind Onshore,59.8,Operational
2293,Long Hill Road,Wind Onshore,2,Operational
2296,Ness point Wind Turbine 1,Wind Onshore,2.3,Operational
2298,Causeymire,Wind Onshore,48.3,Operational
2299,Hadyard Hill,Wind Onshore,120,Operational
2300,Hare Hill (B),Wind Onshore,2.7,Operational
2302,Crystal Rig Phase 1,Wind Onshore,62.5,Operational
2304,Black Law,Wind Onshore,124,Operational
2305,Ardrossan,Wind Onshore,24,Operational
2306,Braes O'Doune,Wind Onshore,72,Operational
2307,Thorfinn Wind Farm - NM1500,Wind Onshore,1.5,Operational
2311,Boulfruich,Wind Onshore,13,Operational
2313,Bicker Fen,Wind Onshore,26.7,Operational
2314,Stags Holt,Wind Onshore,18,Operational
2315,Glass Moor,Wind Onshore,16,Operational
2316,Gedney Marsh,Wind Onshore,12,Operational
2317,Ben Aketil,Wind Onshore,23,Operational
2329,Knabs Ridge Windfarm,Wind Onshore,16,Operational
2331,Kelburn,Wind Onshore,28,Operational
2337,Ramsey 1,Wind Onshore,1.8,Operational
2339,Bambers Farm,Wind Onshore,9.6,Operational
2340,Ford Wind Park - Dagenham,Wind Onshore,5.9,Operational
2341,Swaffham Plashes II,Wind Onshore,1.8,Operational
2343,Shooters Bottom Wind Park,Wind Onshore,2,Operational
2348,Caton Moor Windfarm Repowering,Wind Onshore,16,Operational
2349,Moel Maelogen A Phase 2,Wind Onshore,11.7,Operational
2354,Scout Moor Windfarm,Wind Onshore,65,Operational
2356,The Haven,Wind Onshore,1.2,Operational
2362,The Hollies,Wind Onshore,2.6,Operational
2366,Tullo Farm,Wind Onshore,17.5,Operational
2373,Dummuie,Wind Onshore,12.3,Operational
2374,Earlsburn,Wind Onshore,37.5,Operational
2375,Kilbraur Windfarm,Wind Onshore,47.5,Operational
2378,Achany Wind Farm,Wind Onshore,38,Operational
2380,Bilbster Wind Farm,Wind Onshore,3.9,Operational
2383,Green Park,Wind Onshore,2,Operational
2387,Carcant Windfarm,Wind Onshore,6,Operational
2391,Butterwick Moor,Wind Onshore,20.5,Operational
2393,Hagshaw Hill Wind Farm Extension,Wind Onshore,26,Operational
2396,Southern Law,Wind Onshore,5.2,Operational
2400,Llangwyryfon,Wind Onshore,9.4,Operational
2403,Pates Hill,Wind Onshore,14,Operational
2404,Roskrow Wind Turbines,Wind Onshore,1.7,Operational
2407,Greendykeside,Wind Onshore,4,Operational
2411,Loscar Farm,Wind Onshore,4.5,Operational
2412,Langley Moor,Wind Onshore,8,Operational
2417,Arecleoch Windfarm,Wind Onshore,120,Operational
2419,Mark Hill,Wind Onshore,56,Operational
2421,Westmill Wind Farm,Wind Onshore,6.5,Operational
2427,Lodge Farm 1,Wind Onshore,1,Operational
2432,"Carno 'A'and 'B' Wind Farm, (Extension)",Wind Onshore,15.6,Operational
2439,Achairn,Wind Onshore,6.2,Operational
2443,High Hedley Hope 2 (Extension),Wind Onshore,5.2,Operational
2444,Beinn an Tuirc,Wind Onshore,29.7,Operational
2446,Cnoc Donn Arnicle,Wind Onshore,15,Operational
2447,Beinn Ghlas Wind Farm,Wind Onshore,7.8,Operational
2448,"Bendealt Wind Farm, Highland",Wind Onshore,9,Operational
2449,Meall an Tuirc Wind Farm,Wind Onshore,17,Operational
2450,An Suidhe,Wind Onshore,19.3,Operational
2451,Roughside Hill,Wind Onshore,30,Operational
2452,Bowbeat Wind Farm,Wind Onshore,31.2,Operational
2453,Hagshaw Hill Wind Farm,Wind Onshore,7.8,Operational
2456,Arnish Moor,Wind Onshore,3.9,Operational
2457,Burgar Hill,Wind Onshore,5,Operational
2458,Thorfinn Wind Farm - NM2000,Wind Onshore,2.3,Operational
2459,Hill of Lybster,Wind Onshore,4.9,Operational
2460,Burradale Hill,Wind Onshore,3.7,Operational
2461,Glens of Foudland,Wind Onshore,26,Operational
2462,Castle Pill - Repowering,Wind Onshore,3.2,Operational
2464,Whitelaw Brae Wind Farm,Wind Onshore,50.4,Appeal Granted
2468,New Holland,Wind Onshore,1,Operational
2470,Cumberhead West Wind Farm,Wind Onshore,126,Under Construction
2485,Weston Airfield Wind Turbines,Wind Onshore,3.6,Operational
2490,Orton Park Farm,Wind Onshore,1.6,Operational
2491,PROMISED LAND FARM,Wind Onshore,1,Operational
2496,Nethercott Farm,Wind Onshore,1.5,Operational
2498,Bonerbo Wind Turbines,Wind Onshore,1.5,Operational
2499,Aberarder Wind Farm,Wind Onshore,49.9,Under Construction
2504,Princes Gate Spring Water,Wind Onshore,1.6,Operational
2505,Phase 1 Bettyhill Wind Farm,Wind Onshore,5,Operational
2507,Sibelco Brassington,Wind Onshore,2.3,Operational
2510,Beinn an Tuirc Windfarm Phase 3,Wind Onshore,49.9,Under Construction
2512,Lambrigg Wind Farm,Wind Onshore,6.5,Operational
2513,Askam,Wind Onshore,4.6,Operational
2514,Bears Down Wind Farm,Wind Onshore,9.8,Operational
2518,Welton Of Creuchies,Wind Onshore,9.2,Operational
2520,Droop Hill Wind Farm x,Wind Onshore,4.6,Operational
2524,Denhill,Wind Onshore,2.3,Operational
2525,Haddo,Wind Onshore,4.6,Operational
2526,Gairnieston Farm,Wind Onshore,2.3,Operational
2529,"Burgar Hill (land Near), Evie",Wind Onshore,2.3,Operational
2534,Tod Hill Farm Wind Turbines,Wind Onshore,12,Operational
2543,Moorhouse Farm,Wind Onshore,1,Operational
2546,Royd Moor,Wind Onshore,5.9,Operational
2547,Stroupster Wind Farm - additional turbine,Wind Onshore,2.3,Operational
2548,Gordonbush (extension),Wind Onshore,47,Under Construction
2549,Hill Of Lychrobbie,Wind Onshore,2.4,Appeal Granted
2550,Little Belhus Restoration Site,Wind Onshore,1,Operational
2551,Crystal Rig Wind Farm Phase 2a,Wind Onshore,138,Operational
2559,Clachan Flats Wind Farm,Wind Onshore,15,Operational
2560,Fen Farm,Wind Onshore,16,Operational
2561,Darracott Moor,Wind Onshore,2.6,Operational
2563,Lochhead Farm,Wind Onshore,6,Operational
2567,Toddleburn,Wind Onshore,27.6,Operational
2568,Crimp Wind Farm,Wind Onshore,2.4,Operational
2571,Hedley Hope,Wind Onshore,2.4,Operational
2572,Tangy Wind Farm/Tangy 1,Wind Onshore,12.8,Operational
2581,Coldham Hall,Wind Onshore,14,Operational
2582,Whitemill Wind Farm,Wind Onshore,14,Operational
2588,Green Knowes,Wind Onshore,27,Operational
2590,Whitelee,Wind Onshore,322,Operational
2592,Great Orton,Wind Onshore,4,Operational
2593,Winscales Phase I and II,Wind Onshore,8.8,Operational
2595,Holmside Hall,Wind Onshore,2.8,Operational
2596,High Volts Wind Farm,Wind Onshore,5.5,Operational
2597,Hare Hill,Wind Onshore,1.3,Operational
2601,Enoch Hill,Wind Onshore,70,Under Construction
2602,Benbrack Wind Farm,Wind Onshore,67.1,Under Construction
2603,Great Eppleton Farm Repowering,Wind Onshore,8.2,Operational
2606,Haswell Moor,Wind Onshore,10,Operational
2609,Worksop - B&Q,Wind Onshore,2,Operational
2610,Cold Northcott,Wind Onshore,6.6,Operational
2620,Upper Ardgrain Wind Farm,Wind Onshore,2.4,Operational
2624,Rothiesholm,Wind Onshore,2.7,Operational
2625,Hill of Easterton,Wind Onshore,2.5,Operational
2626,Port of Liverpool - wind,Wind Onshore,10,Operational
2627,Rothes Wind (Cairn Uish),Wind Onshore,50.6,Operational
2629,Crystal Rig Extension II,Wind Onshore,20.7,Operational
2631,Glenkerie Wind Farm,Wind Onshore,22,Operational
2632,Lissett Airfield Wind Farm,Wind Onshore,30,Operational
2641,Methlick Farmers Wind Energy Project,Wind Onshore,12,Operational
2645,Rheidol Wind Farm,Wind Onshore,2.4,Operational
2647,Deucheran Hill,Wind Onshore,15.8,Operational
2648,Bryn Du,Wind Onshore,16.4,Operational
2655,Dun Law,Wind Onshore,17.2,Operational
2657,Black Hill (Borders),Wind Onshore,28.6,Operational
2658,Four Burrows Wind Farm,Wind Onshore,4.5,Operational
2659,Dun Law Extension,Wind Onshore,29.8,Operational
2660,Lochelbank Wind Farm II,Wind Onshore,9.6,Operational
2664,Cruach Mhor,Wind Onshore,33.3,Operational
2668,Wern Ddu Wind Farm,Wind Onshore,9.2,Operational
2669,Hagshaw Hill Wind Farm,Wind Onshore,7.8,Operational
2670,Muirake,Wind Onshore,4.6,Operational
2672,Millennium Extension,Wind Onshore,10,Operational
2674,Rusholme Wind Farm,Wind Onshore,24,Operational
2677,Longpark,Wind Onshore,38,Operational
2678,Walkway,Wind Onshore,14,Operational
2679,Coldham,Wind Onshore,16,Operational
2680,Red Tile,Wind Onshore,24,Operational
2681,Deeping St Nicholas Wind Farm,Wind Onshore,16.4,Operational
2683,Lowca Wind Farm,Wind Onshore,4.7,Operational
2685,Fairfield Farm,Wind Onshore,6.5,Operational
2686,Haverigg Repowering (Haverigg II),Wind Onshore,1.2,Operational
2690,Beinneun Windfarm Extension,Wind Onshore,23.8,Operational
2698,Ewe Hill (extension),Wind Onshore,36.8,Operational
2703,Hazelside farm,Wind Onshore,1.6,Under Construction
2715,Melton Common Wind Cluster,Wind Onshore,5,Operational
2717,Moy Wind Farm (2nd Application),Wind Onshore,66,Operational
2720,Rosehill Wind Turbines,Wind Onshore,2.4,Operational
2724,Twin Rivers,Wind Onshore,28.7,Operational
2725,Penrhys Wind Farm/Ferndale Power Factory,Wind Onshore,6.4,Operational
2726,Gordonbush,Wind Onshore,70,Operational
2728,Avonmouth Wind Power,Wind Onshore,8.2,Operational
2729,Gordonstown Hill Wind Farm,Wind Onshore,12.5,Operational
2730,The Rosti Factory,Wind Onshore,2.2,Operational
2731,Ben Aketil Extension,Wind Onshore,4.6,Operational
2733,Lochcarnan Community Windfarm,Wind Onshore,6.9,Operational
2734,The Grange Wind Farm,Wind Onshore,14,Operational
2735,Humphrey Group,Wind Onshore,5,Operational
2736,Rodbaston,Wind Onshore,4,Operational
2737,Boundary Lane,Wind Onshore,6,Operational
2739,Nutberry Wind Farm,Wind Onshore,15,Operational
2740,Penny Hill Lane,Wind Onshore,19.8,Operational
2742,West Knock Wind Cluster,Wind Onshore,2.4,Operational
2743,Low Spinney Wind Farm,Wind Onshore,8,Operational
2745,Westfield,Wind Onshore,12.5,Operational
2746,Swinford Wind Farm,Wind Onshore,22,Operational
2747,Burnt House Farm,Wind Onshore,6,Operational
2749,Calder Water Community Wind Farm,Wind Onshore,28,Operational
2751,Millour Hill Community Windfarm ,Wind Onshore,18,Operational
2752,Netherton of Windyhills,Wind Onshore,4.6,Operational
2754,Gallowhill,Wind Onshore,1.8,Operational
2755,Frodsham Marsh,Wind Onshore,50.4,Operational
2756,Brechfa Forest West,Wind Onshore,57.4,Operational
2758,Greenhill Croft,Wind Onshore,4.6,Operational
2759,Severn Trent STW,Wind Onshore,2.5,Operational
2760,Spaldington Airfield,Wind Onshore,12.5,Operational
2761,Hillhead of Auquhirie,Wind Onshore,6.9,Operational
2762,Middleton Wind Farm,Wind Onshore,12,Operational
2763,Orchard End ,Wind Onshore,4,Operational
2765,Mynydd Bwllfa Wind Farm - Resubmission,Wind Onshore,22.5,Operational
2767,Tirgwynt,Wind Onshore,24.6,Operational
2770,Garreg Lwyd,Wind Onshore,34,Operational
2771,Castle of Auchry Farm,Wind Onshore,2.4,Operational
2775,Little Byth,Wind Onshore,4.5,Operational
2776,Yonderton Farm,Wind Onshore,1,Operational
2778,Oakdale Business Park,Wind Onshore,4,Operational
2783,Boddington Reservoir,Wind Onshore,1.5,Operational
2784,HMP Standford Hill,Wind Onshore,4.6,Operational
2785,Sancton Hill,Wind Onshore,10,Operational
2788,Port of Sheerness Wind Farm (was Lappel Bank),Wind Onshore,8.2,Operational
2789,Stonish Hill (Bilsthorpe),Wind Onshore,10.3,Operational
2791,Stags Holt Extension,Wind Onshore,2,Operational
2794,North Yell Wind Farm (Garth Community Wind Farm),Wind Onshore,4.5,Operational
2795,Glenurquhart and Strathglass Wind Farm project,Wind Onshore,10,Operational
2796,Damhead Farm,Wind Onshore,2.5,Operational
2797,Hyndburn Wind Farm,Wind Onshore,24,Operational
2798,Tedder Hill Wind cluster,Wind Onshore,7.5,Operational
2800,Lynemouth Windfarm (Resubmission),Wind Onshore,26,Operational
2802,Wingates Wind Farm,Wind Onshore,15,Operational
2805,Wathegar wind farm,Wind Onshore,10,Operational
2806,Allt Dearg Wind Farmers LLP,Wind Onshore,10.8,Operational
2807,Hameldon Hill extension,Wind Onshore,7.5,Operational
2810,Dalby,Wind Onshore,7.2,Operational
2811,Glass moor Extension,Wind Onshore,12,Operational
2817,Cour Wind Farm,Wind Onshore,20.5,Operational
2821,Upper Wheedlemont Farm,Wind Onshore,1.7,Operational
2828,Shielburn Farm,Wind Onshore,6.9,Operational
2831,Beinneun,Wind Onshore,85,Operational
2835,Seamer Wind Farm - Hambleton,Wind Onshore,4,Operational
2836,Fanny House Farm/Heysham Moss,Wind Onshore,1.5,Operational
2837,Newthorpe Wind Turbine,Wind Onshore,2.5,Operational
2839,Chelveston Renewable Energy Park Wind Farm (Bedford),Wind Onshore,10,Operational
2842,Torrance Farm,Wind Onshore,9,Operational
2845,Land at Overside and Greenwellheads Farms,Wind Onshore,9.2,Operational
2846,Lancaster University (wind),Wind Onshore,2,Operational
2847,Myreton Crossroads,Wind Onshore,1.6,Operational
2849,Auchinderran Wind Farm,Wind Onshore,2.4,Operational
2850,The Limes Wind Turbines,Wind Onshore,1.7,Operational
2852,Milton of Fisherie Wind Cluster,Wind Onshore,4.6,Operational
2853,Blantyre Muir Wind Farm,Wind Onshore,9,Operational
2857,Lilbourne Wind Farm,Wind Onshore,10,Operational
2861,Tullo Wind Farm North Extension (Shiels Wind Farm),Wind Onshore,7.5,Operational
2862,Easter Melrose Wind Energy Project,Wind Onshore,1.5,Operational
2870,Newton Marsh Wind Project,Wind Onshore,4.6,Operational
2871,North Pickenham Airfield,Wind Onshore,4,Operational
2874,Wythegill Wind Turbine,Wind Onshore,2.3,Operational
2877,Roos Wind Farm (Resubmission),Wind Onshore,17.1,Operational
2878,Backhill of Yonderton Wind Cluster,Wind Onshore,4.6,Operational
2879,Spurness Wind Farm Repowering,Wind Onshore,10,Operational
2882,St Johns Wells Wind Cluster Extension,Wind Onshore,3.2,Operational
2883,GlaxoSmithKline Wind Project,Wind Onshore,7.5,Operational
2884,K L Technologies Wind Turbine,Wind Onshore,1.5,Operational
2887,Coire Na Cloiche Wind Farm,Wind Onshore,29.9,Operational
2891,Ardoch and Over Enoch Wind Farm (Over Enoch),Wind Onshore,4.3,Operational
2892,Ystgellog Farm Wind Farm ,Wind Onshore,4.6,Operational
2893,NEILSTON WIND FARM,Wind Onshore,9.2,Operational
2894,Greencroft Estate Turbines,Wind Onshore,4,Operational
2895,Crossness Sewage Works Turbine,Wind Onshore,2.5,Operational
2904,Muirhall Extension,Wind Onshore,6.8,Operational
2913,Freasdail Wind Farm,Wind Onshore,22.5,Operational
2914,Nash Waste Water Treatment Works Turbine,Wind Onshore,2.5,Operational
2917,Marston Vale Country Park Wind Turbine,Wind Onshore,1.5,Operational
2920,Energy Works Hull - Wind Turbine,Wind Onshore,3,Operational
2922,Mynydd Y Gwrhyd Windfarm,Wind Onshore,4.7,Operational
2923,Severn Trent Water - Stoke Bardolph Wind Turbine,Wind Onshore,1.5,Operational
2928,Barns of Ayre Wind Turbines (2),Wind Onshore,1.8,Operational
2930,Newton Down,Wind Onshore,5,Operational
2931,North Steads Wind Farm ,Wind Onshore,18.45,Operational
2937,Hill of Tillymorgan (Kirkton Farm) Wind turbines ,Wind Onshore,9.6,Operational
2941,LADEHEAD FARM - WIND TURBINES,Wind Onshore,2.4,Operational
2943,Garlenick Estate 2 - Wind Turbines,Wind Onshore,4,Operational
2944,Goonabarn Farm Wind Turbines,Wind Onshore,1,Operational
2950,Bloodhills - repowering,Wind Onshore,1,Operational
2951,Ardoch and Over Enoch Wind Farm (Ardoch),Wind Onshore,7.2,Operational
2953,Avonmouth Port II,Wind Onshore,5,Operational
2954,Tween Bridge Windfarm,Wind Onshore,44,Operational
2957,Mynydd Portref,Wind Onshore,9.4,Operational
2958,Fforch Nest Wind Farm pt2,Wind Onshore,17.5,Operational
2959,Wadlow Wind Farm,Wind Onshore,26,Operational
2960,Bradwell Wind Farm (Repower),Wind Onshore,20,Operational
2961,Hazlehead,Wind Onshore,6,Operational
2962,Kiln Pit Hill Windfarm,Wind Onshore,12,Operational
2965,Otterham Down Wind Farm,Wind Onshore,3.2,Operational
2966,Sixpenny Wood Windfarm,Wind Onshore,33,Operational
2967,Earl's Hall,Wind Onshore,10.3,Operational
2968,Mawdesley Moss,Wind Onshore,2.3,Operational
2970,Chelveston Renewable Energy Park Wind Farm (East Northamptonshire),Wind Onshore,12.5,Operational
2971,Bewick Drift,Wind Onshore,2.3,Operational
2972,Hall Farm Routh,Wind Onshore,24.6,Operational
2975,Rothes Wind Farm (Extension) (II),Wind Onshore,41.4,Operational
2977,Fforch Nest Wind Farm pt1,Wind Onshore,10,Operational
2978,Hampole Wind Farm,Wind Onshore,8,Operational
2979,Blackstone Edge,Wind Onshore,7.5,Operational
2982,Marr Windfarm,Wind Onshore,8,Operational
2983,Nissan Motors Plant Extn,Wind Onshore,2,Operational
2987,Hill of Fiddes,Wind Onshore,6.9,Operational
2988,Cotton Farm,Wind Onshore,20,Operational
2989,Land at Flimby Hall Farm ,Wind Onshore,6.2,Operational
2993,Carland Cross Wind Farm Repowering,Wind Onshore,20,Operational
2995,Yelvertoft Wind Farm,Wind Onshore,16,Operational
2997,Mains of Hatton,Wind Onshore,2.4,Operational
2998,Whitelee Windfarm Extension Phase 1,Wind Onshore,108,Operational
2999,Tilbury Docks,Wind Onshore,12,Operational
3001,Seamer Windfarm - Stockton on Tees,Wind Onshore,6,Operational
3002,South Sharpley Wind Farm (Revised),Wind Onshore,7.5,Operational
3003,Armistead Wind Farm,Wind Onshore,12,Operational
3004,Withernwick,Wind Onshore,18,Operational
3005,Loch Sminig Wind Project,Wind Onshore,2.7,Operational
3009,Burton Pidsea (Wadworth Hill) Wind Farm,Wind Onshore,10.2,Operational
3023,Camster,Wind Onshore,50,Operational
3025,Bu Farm,Wind Onshore,2.7,Operational
3026,Drumderg,Wind Onshore,36.8,Operational
3028,Clyde Wind Farm,Wind Onshore,350,Operational
3030,Novar Wind Farm (Extension),Wind Onshore,36.8,Operational
3031,Hill of Towie (Drummuir),Wind Onshore,48,Operational
3032,Ewe Hill,Wind Onshore,13.8,Operational
3036,Middlemoor,Wind Onshore,54,Operational
3038,Baillie Wind Farm,Wind Onshore,52.5,Operational
3039,Braich Ddu,Wind Onshore,3.9,Operational
3040,Drone Hill,Wind Onshore,28.6,Operational
3041,Tangy Wind Farm Extension/Tangy 2,Wind Onshore,6,Operational
3043,Ray Wind Farm,Wind Onshore,54.4,Operational
3044,Calliachar,Wind Onshore,32.2,Operational
3045,Griffin Wind farm,Wind Onshore,156,Operational
3046,High Pow Farm ,Wind Onshore,3.9,Operational
3048,St. Johns Hill,Wind Onshore,7.65,Operational
3049,Blackcraig,Wind Onshore,52.9,Operational
3050,Fullabrook Down Wind Farm,Wind Onshore,66,Operational
3051,Little Raith Farm,Wind Onshore,25,Operational
3056,Pant y wal,Wind Onshore,25,Operational
3059,Green Rigg,Wind Onshore,36,Operational
3063,Rosehall Hill Forest Windfarm,Wind Onshore,24.7,Operational
3064,Bankend Rig,Wind Onshore,14.3,Operational
3065,Hill of Easterton Extension,Wind Onshore,2,Operational
3066,Batsworthy Cross,Wind Onshore,18,Operational
3067,Fallago Rig,Wind Onshore,144,Operational
3068,Cathkin Braes Wind Farm (Castlemilk),Wind Onshore,3,Operational
3069,Mynydd y Betws,Wind Onshore,34.5,Operational
3070,Ark Hill,Wind Onshore,6.4,Operational
3071,Pentland Road Wind Farm,Wind Onshore,13.8,Operational
3073,Turncole Wind Farm,Wind Onshore,17.5,Operational
3074,Derby Sewage Treatment Works,Wind Onshore,5,Operational
3075,Grange ,Wind Onshore,12.3,Operational
3076,Goole Fields ll Wind Farm,Wind Onshore,34.9,Operational
3078,Edintore Wind Farm,Wind Onshore,18,Operational
3079,Tralorg Wind Farm,Wind Onshore,20,Operational
3081,Gremista Wind Farm,Wind Onshore,3,Operational
3082,Common Barn Wind Farm,Wind Onshore,6.2,Operational
3084,Clentrie Wind Farm (Gevens),Wind Onshore,6.9,Operational
3089,Kelmarsh Wind Farm (Resubmission),Wind Onshore,12.5,Operational
3090,Torrance Farm Wind Park Extension,Wind Onshore,5.7,Operational
3093,Goathill Quarry Turbine,Wind Onshore,2,Operational
3096,Skeddoway Farm Wind Turbine ,Wind Onshore,1.5,Operational
3097,Middle Balbeggie Wind Turbines,Wind Onshore,6.4,Operational
3100,Upper Holton Wind Farm,Wind Onshore,11.5,Operational
3107,Tallentire Hill,Wind Onshore,12,Operational
3110,Meikle Carewe ,Wind Onshore,10,Operational
3111,Andershaw,Wind Onshore,36,Operational
3112,East Midlands Airport,Wind Onshore,1,Operational
3113,Kildrummy Windfarm,Wind Onshore,18.4,Operational
3115,Airfield Farm (Podington) ,Wind Onshore,8.6,Operational
3117,Dunmaglass Wind Farm,Wind Onshore,94,Operational
3118,Harestanes,Wind Onshore,136,Operational
3119,Corriemoillie,Wind Onshore,54.4,Operational
3120,Hill of Stroupster Windfarm,Wind Onshore,29.9,Operational
3121,Burn of Whilk,Wind Onshore,22.5,Operational
3122,Lochluichart,Wind Onshore,51,Operational
3123,Burnhead,Wind Onshore,26,Operational
3126,Sneddon Law Community Wind Farm,Wind Onshore,45,Under Construction
3130,Easter Tolmauds,Wind Onshore,1.6,Operational
3135,Maerdy,Wind Onshore,24,Operational
3136,Woodlands Barton Wind Project,Wind Onshore,4.6,Operational
3137,Westnewton,Wind Onshore,6.2,Operational
3143,Hare Hill Extension,Wind Onshore,29.8,Operational
3145,Avonmouth Port - extension,Wind Onshore,9,Operational
3149,Barmoor South Wind Farm ,Wind Onshore,13.8,Operational
3150,Winwick,Wind Onshore,12.3,Operational
3153,Sisters,Wind Onshore,8.2,Operational
3154,East Youlstone Wind Farm,Wind Onshore,4,Operational
3155,Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm,Wind Onshore,6.9,Operational
3157,Heysham South Wind Farm,Wind Onshore,7.5,Operational
3158,Woolley Hill Wind Farm,Wind Onshore,10,Operational
3160,Furness Wind Farm/High Winds (Harlock Repowering) ,Wind Onshore,11.5,Operational
3161,Clyde Wind Farm Extension (Clyde 2),Wind Onshore,172.8,Operational
3162,Quixwood Moor,Wind Onshore,29.9,Operational
3167,Auchadaduie Wind Farm,Wind Onshore,6.9,Operational
3173,Mynydd Brombil Wind Farm,Wind Onshore,8,Operational
3174,Mynydd Portref Wind Farm extension,Wind Onshore,12,Operational
3176,Longlands Lane,Wind Onshore,1.5,Operational
3180,Inverclyde Wind Farm (Corlic Hill),Wind Onshore,24,Operational
3184,Ryder Point Quarry Wind Turbines,Wind Onshore,5,Operational
3185,Burton Wold Wind Farm - Northern Extension ,Wind Onshore,14.4,Operational
3186,Pearie Law Wind Farm,Wind Onshore,19.2,Operational
3188,Greengairs East Wind Farm,Wind Onshore,24,Operational
3190,Crystal Rig Wind Farm Phase III,Wind Onshore,13.8,Operational
3192,Drumduff,Wind Onshore,8.5,Operational
3196,Rhodders Wind Farm,Wind Onshore,12,Operational
3198,Harburnhead Wind Farm,Wind Onshore,51.7,Operational
3200,Dunsland Cross Wind Farm,Wind Onshore,7.5,Operational
3206,Potato Pot Wind Farm,Wind Onshore,6,Operational
3208,Millour Hill Community Windfarm (Extension) ,Wind Onshore,6.4,Operational
3210,Blantyre Muir Wind Farm extension,Wind Onshore,7.5,Operational
3213,Dorenell Wind Farm (Previously Site A and B Scaut Hill),Wind Onshore,177,Operational
3214,Earlsburn North (Kingsburn) Wind Farm,Wind Onshore,22.5,Operational
3215,Wryde Croft,Wind Onshore,26,Operational
3216,Wandylaw,Wind Onshore,20.5,Operational
3218,Black Law Extension - 1a,Wind Onshore,48.4,Operational
3220,Bishopthorpe,Wind Onshore,16.4,Operational
3224,Keadby Wind Farm,Wind Onshore,68,Operational
3225,Berry Burn,Wind Onshore,66.7,Operational
