OBJECTID,Site Name,Technology Type,Installed Capacity (MWelec),Development Status
1072,Saxley Farm,Solar Photovoltaics,5,Operational
1074,Snarlton Farm (Melksham solar farm),Solar Photovoltaics,49.6,Operational
1076,Lackford Estate Solar Park,Solar Photovoltaics,20.9,Operational
1077,Colpmans Farm,Solar Photovoltaics,5,Operational
1078,Porvair International Ltd,Solar Photovoltaics,1.8,Operational
1079,Willsland Solar farm,Solar Photovoltaics,3.2,Operational
1080,Frying Down Copse Solar Farm,Solar Photovoltaics,5,Operational
1081,Wilmingham Lane Solar Farm,Solar Photovoltaics,7,Operational
1082,Chilton Cantelo Solar Farm,Solar Photovoltaics,5,Operational
1084,Beaford Brook Solar Park,Solar Photovoltaics,5.2,Operational
1086,Hayford Farm,Solar Photovoltaics,8.9,Operational
1087,Halse Farm,Solar Photovoltaics,8.2,Operational
1089,STRETE FARM SOLAR FARM,Solar Photovoltaics,4.8,Operational
1090,Tregassow Farm - Solar Modules,Solar Photovoltaics,6,Operational
1092,Higher Hatherleigh Solar Farm extension,Solar Photovoltaics,1.5,Operational
1093,Pont Andrew Solar Farm,Solar Photovoltaics,1.5,Operational
1095,Cairnhill Farm solar park,Solar Photovoltaics,2.4,Operational
1096,Manston Solar Farm extension (Westwood),Solar Photovoltaics,9.2,Operational
1098,Newlands Farm Solar ,Solar Photovoltaics,20.5,Operational
1099,Fen Road,Solar Photovoltaics,1.4,Operational
1102,Long Meadow Farm,Solar Photovoltaics,4.1,Operational
1106,Liverton Farm,Solar Photovoltaics,4.8,Operational
1108,Home Farm (Knowlton - solar),Solar Photovoltaics,11.5,Operational
1109,Lake Farm,Solar Photovoltaics,5,Operational
1110,Parkhouse Corner (Orta Solar),Solar Photovoltaics,6.6,Operational
1111,Sandhill Solar Park,Solar Photovoltaics,2,Operational
1112,Mingay Farm,Solar Photovoltaics,5,Operational
1113,Jordanston Solar Farm,Solar Photovoltaics,5,Operational
1115,Aldi Distribution Centre - Neston,Solar Photovoltaics,1.2,Operational
1116,Rodbourne Rail Farm - Solar Park,Solar Photovoltaics,7.6,Operational
1119,Barnby Moor,Solar Photovoltaics,4,Operational
1120,Knockworthy Farm,Solar Photovoltaics,3.5,Operational
1122,Raglington Farm,Solar Photovoltaics,5.8,Operational
1125,Stables Farm,Solar Photovoltaics,1.5,Operational
1126,Luson Farm,Solar Photovoltaics,1.9,Operational
1129,Kellygreen Farm,Solar Photovoltaics,4,Operational
1130,Grove Farm (solar),Solar Photovoltaics,3.5,Operational
1133,Marston Solar Farm,Solar Photovoltaics,4.9,Operational
1135,Tredown Solar Farm,Solar Photovoltaics,1.2,Operational
1139,Slaughtergate Farm,Solar Photovoltaics,1.8,Operational
1141,Kia Ora Farm,Solar Photovoltaics,1.8,Operational
1142,Ellicombe Farm,Solar Photovoltaics,1.4,Operational
